label,value,type,state
Abadia de Goiás,5200050,city,GO
Abadia dos Dourados,3100104,city,MG
Abadiânia,5200100,city,GO
Abaeté,3100203,city,MG
Abaetetuba,1500107,city,PA
Abaiara,2300101,city,CE
Abaíra,2900108,city,BA
Abaré,2900207,city,BA
Abatiá,4100103,city,PR
Abdon Batista,4200051,city,SC
Abel Figueiredo,1500131,city,PA
Abelardo Luz,4200101,city,SC
Abre Campo,3100302,city,MG
Abreu e Lima,2600054,city,PE
Abreulândia,1700251,city,TO
Acaiaca,3100401,city,MG
Açailândia,2100055,city,MA
Acajutiba,2900306,city,BA
Acará,1500206,city,PA
Acarape,2300150,city,CE
Acaraú,2300200,city,CE
Acari,2400109,city,RN
Acauã,2200053,city,PI
Acopiara,2300309,city,CE
Acorizal,5100102,city,MT
Acrelândia,1200013,city,AC
Acreúna,5200134,city,GO
Açu,2400208,city,RN
Açucena,3100500,city,MG
Adamantina,3500105,city,SP
Adelândia,5200159,city,GO
Adolfo,3500204,city,SP
Adrianópolis,4100202,city,PR
Adustina,2900355,city,BA
Afogados da Ingazeira,2600104,city,PE
Afonso Bezerra,2400307,city,RN
Afonso Cláudio,3200102,city,ES
Afonso Cunha,2100105,city,MA
Afrânio,2600203,city,PE
Afuá,1500305,city,PA
Agrestina,2600302,city,PE
Agricolândia,2200103,city,PI
Agrolândia,4200200,city,SC
Agronômica,4200309,city,SC
Água Azul do Norte,1500347,city,PA
Água Boa,5100201,city,MT
Água Branca,2700102,city,AL
Água Branca,2500106,city,PB
Água Branca,2200202,city,PI
Água Clara,5000203,city,MS
Água Comprida,3100708,city,MG
Água Doce,4200408,city,SC
Água Doce do Maranhão,2100154,city,MA
Água Doce do Norte,3200169,city,ES
Água Fria,2900405,city,BA
Água Fria de Goiás,5200175,city,GO
Água Preta,2600401,city,PE
Água Santa,4300059,city,RS
Aguaí,3500303,city,SP
Aguanil,3100807,city,MG
Águas Belas,2600500,city,PE
Águas da Prata,3500402,city,SP
Águas de Chapecó,4200507,city,SC
Águas de Lindóia,3500501,city,SP
Águas de Santa Bárbara,3500550,city,SP
Águas de São Pedro,3500600,city,SP
Águas Formosas,3100906,city,MG
Águas Frias,4200556,city,SC
Águas Lindas de Goiás,5200258,city,GO
Águas Mornas,4200606,city,SC
Águas Vermelhas,3101003,city,MG
Agudo,4300109,city,RS
Agudos,3500709,city,SP
Agudos do Sul,4100301,city,PR
Águia Branca,3200136,city,ES
Aguiar,2500205,city,PB
Aguiarnópolis,1700301,city,TO
Aimorés,3101102,city,MG
Aiquara,2900603,city,BA
Aiuaba,2300408,city,CE
Ajuricaba,4300208,city,RS
Alagoa Grande,2500304,city,PB
Alagoa Nova,2500403,city,PB
Alagoinha,2500502,city,PB
Alagoinha,2600609,city,PE
Alagoinha do Piauí,2200251,city,PI
Alagoinhas,2900702,city,BA
Alambari,3500758,city,SP
Alcântara,2100204,city,MA
Alcântaras,2300507,city,CE
Alcantil,2500536,city,PB
Alcinópolis,5000252,city,MS
Alcobaça,2900801,city,BA
Aldeias Altas,2100303,city,MA
Alecrim,4300307,city,RS
Alegre,3200201,city,ES
Alegrete,4300406,city,RS
Alegrete do Piauí,2200277,city,PI
Além Paraíba,3101508,city,MG
Alenquer,1500404,city,PA
Alexandria,2400505,city,RN
Alexânia,5200308,city,GO
Alfenas,3101607,city,MG
Alfredo Chaves,3200300,city,ES
Alfredo Marcondes,3500808,city,SP
Alfredo Vasconcelos,3101631,city,MG
Alfredo Wagner,4200705,city,SC
Alhandra,2500601,city,PB
Aliança,2600708,city,PE
Aliança do Tocantins,1700350,city,TO
Almadina,2900900,city,BA
Almeirim,1500503,city,PA
Almenara,3101706,city,MG
Almino Afonso,2400604,city,RN
Almirante Tamandaré,4100400,city,PR
Aloândia,5200506,city,GO
Alpercata,3101805,city,MG
Alpestre,4300505,city,RS
Alpinópolis,3101904,city,MG
Alta Floresta,5100250,city,MT
Alta Floresta D'Oeste,1100015,city,RO
Altair,3500907,city,SP
Altamira,1500602,city,PA
Altamira do Maranhão,2100402,city,MA
Altamira do Paraná,4100459,city,PR
Altaneira,2300606,city,CE
Alterosa,3102001,city,MG
Altinho,2600807,city,PE
Altinópolis,3501004,city,SP
Alto Alegre,1400050,city,RR
Alto Alegre,3501103,city,SP
Alto Alegre do Maranhão,2100436,city,MA
Alto Alegre do Pindaré,2100477,city,MA
Alto Alegre dos Parecis,1100379,city,RO
Alto Araguaia,5100300,city,MT
Alto Bela Vista,4200754,city,SC
Alto Boa Vista,5100359,city,MT
Alto Caparaó,3102050,city,MG
Alto do Rodrigues,2400703,city,RN
Alto Feliz,4300570,city,RS
Alto Garças,5100409,city,MT
Alto Jequitibá,3153509,city,MG
Alto Longá,2200301,city,PI
Alto Paraguai,5100508,city,MT
Alto Paraíso,4128625,city,PR
Alto Paraíso,1100403,city,RO
Alto Paraíso de Goiás,5200605,city,GO
Alto Paraná,4100608,city,PR
Alto Parnaíba,2100501,city,MA
Alto Piquiri,4100707,city,PR
Alto Rio Doce,3102100,city,MG
Alto Rio Novo,3200359,city,ES
Alto Santo,2300705,city,CE
Altônia,4100509,city,PR
Altos,2200400,city,PI
Alumínio,3501152,city,SP
Alvarães,1300029,city,AM
Alvarenga,3102209,city,MG
Álvares Florence,3501202,city,SP
Álvares Machado,3501301,city,SP
Álvaro de Carvalho,3501400,city,SP
Alvinlândia,3501509,city,SP
Alvinópolis,3102308,city,MG
Alvorada,4300604,city,RS
Alvorada,1700707,city,TO
Alvorada D'Oeste,1100346,city,RO
Alvorada de Minas,3102407,city,MG
Alvorada do Gurguéia,2200459,city,PI
Alvorada do Norte,5200803,city,GO
Alvorada do Sul,4100806,city,PR
Amajari,1400027,city,RR
Amambai,5000609,city,MS
Amapá,1600105,city,AP
Amapá do Maranhão,2100550,city,MA
Amaporã,4100905,city,PR
Amaraji,2600906,city,PE
Amaralina,5200829,city,GO
Amarante,2200509,city,PI
Amarante do Maranhão,2100600,city,MA
Amargosa,2901007,city,BA
Amaturá,1300060,city,AM
Amélia Rodrigues,2901106,city,BA
Americana,3501608,city,SP
Americano do Brasil,5200852,city,GO
Américo Brasiliense,3501707,city,SP
Américo de Campos,3501806,city,SP
Ametista do Sul,4300646,city,RS
Amontada,2300754,city,CE
Amorinópolis,5200902,city,GO
Amparo,2500734,city,PB
Amparo,3501905,city,SP
Amparo de São Francisco,2800100,city,SE
Amparo do Serra,3102506,city,MG
Ampére,4101002,city,PR
Anadia,2700201,city,AL
Anagé,2901205,city,BA
Anahy,4101051,city,PR
Anajás,1500701,city,PA
Anajatuba,2100709,city,MA
Analândia,3502002,city,SP
Anamã,1300086,city,AM
Ananás,1701002,city,TO
Ananindeua,1500800,city,PA
Anápolis,5201108,city,GO
Anapu,1500859,city,PA
Anapurus,2100808,city,MA
Anastácio,5000708,city,MS
Anchieta,3200409,city,ES
Anchieta,4200804,city,SC
Andaraí,2901304,city,BA
Andirá,4101101,city,PR
Andorinha,2901353,city,BA
Andradas,3102605,city,MG
Andradina,3502101,city,SP
